Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsFanDuel,FantasyPointsPerDollarRatioFanDuel,FanShareProjectedOwnershipPercentage,Operator,OperatorSalary
1,Tom Brady,NE,QB,8,LAC,12,8,20.39,2.17,null,FanDuel,9400
1,Le'Veon Bell,PIT,RB,8,DET,16,24,19.31,2.05,null,FanDuel,9400
3,Antonio Brown,PIT,WR,8,DET,16,18,14.75,1.6,null,FanDuel,9200
4,Ezekiel Elliott,DAL,RB,8,WAS,22,12,16.69,1.85,null,FanDuel,9000
5,Julio Jones,ATL,WR,8,NYJ,25,25,13.36,1.54,null,FanDuel,8700
6,Dak Prescott,DAL,QB,8,WAS,22,23,20.01,2.33,null,FanDuel,8600
7,Drew Brees,NO,QB,8,CHI,9,7,19.2,2.26,null,FanDuel,8500
7,AJ Green,CIN,WR,8,IND,32,30,15.17,1.78,null,FanDuel,8500
7,Kareem Hunt,KC,RB,8,DEN,6,1,14.77,1.74,null,FanDuel,8500
10,LeSean McCoy,BUF,RB,8,LV,24,22,17.9,2.13,null,FanDuel,8400
10,Rob Gronkowski,NE,TE,8,LAC,12,2,12.77,1.52,null,FanDuel,8400
12,Dez Bryant,DAL,WR,8,WAS,22,6,12.06,1.45,null,FanDuel,8300
13,Mike Evans,TB,WR,8,CAR,6,8,14.15,1.73,null,FanDuel,8200
14,Matt Ryan,ATL,QB,8,NYJ,25,21,15.73,1.94,null,FanDuel,8100
15,Deshaun Watson,HOU,QB,8,SEA,3,4,15.36,1.92,null,FanDuel,8000
15,Devonta Freeman,ATL,RB,8,NYJ,25,25,13.87,1.73,null,FanDuel,8000
15,DeAndre Hopkins,HOU,WR,8,SEA,3,4,11.74,1.47,null,FanDuel,8000
18,Carson Wentz,PHI,QB,8,SF,29,31,19.55,2.47,null,FanDuel,7900
18,Russell Wilson,SEA,QB,8,HOU,14,18,18.76,2.37,null,FanDuel,7900
18,Melvin Gordon,LAC,RB,8,NE,31,27,15.03,1.9,null,FanDuel,7900
18,Brandin Cooks,NE,WR,8,LAC,12,23,10.89,1.38,null,FanDuel,7900
22,Cam Newton,CAR,QB,8,TB,30,30,19.11,2.45,null,FanDuel,7800
22,Kirk Cousins,WAS,QB,8,DAL,23,22,18.14,2.33,null,FanDuel,7800
22,Derek Carr,LV,QB,8,BUF,10,6,15.95,2.04,null,FanDuel,7800
22,Keenan Allen,LAC,WR,8,NE,31,28,12.39,1.59,null,FanDuel,7800
26,Alex Smith,KC,QB,8,DEN,6,13,15.46,2.01,null,FanDuel,7700
26,Matthew Stafford,DET,QB,8,PIT,1,3,14.59,1.89,null,FanDuel,7700
26,Doug Baldwin,SEA,WR,8,HOU,14,15,12.54,1.63,null,FanDuel,7700
29,Andy Dalton,CIN,QB,8,IND,32,27,18.24,2.4,null,FanDuel,7600
29,Jameis Winston,TB,QB,8,CAR,6,12,17.78,2.34,null,FanDuel,7600
29,Tyrod Taylor,BUF,QB,8,LV,24,20,16.84,2.22,null,FanDuel,7600
29,Tyreek Hill,KC,WR,8,DEN,6,7,10.71,1.41,null,FanDuel,7600
33,Philip Rivers,LAC,QB,8,NE,31,32,17.58,2.34,null,FanDuel,7500
33,Michael Thomas,NO,WR,8,CHI,9,11,12.79,1.71,null,FanDuel,7500
33,Andrew Luck,IND,QB,8,CIN,7,11,0,0,null,FanDuel,7500
36,Ben Roethlisberger,PIT,QB,8,DET,16,9,15.31,2.07,null,FanDuel,7400
36,Jarvis Landry,MIA,WR,8,BAL,10,3,11.51,1.56,null,FanDuel,7400
36,Chris Hogan,NE,WR,8,LAC,12,23,10.24,1.38,null,FanDuel,7400
36,Golden Tate,DET,WR,8,PIT,1,1,9.11,1.23,null,FanDuel,7400
40,Josh McCown,NYJ,QB,8,ATL,19,14,14.46,1.98,null,FanDuel,7300
40,Zach Ertz,PHI,TE,8,SF,29,3,12.01,1.65,null,FanDuel,7300
42,Mark Ingram,NO,RB,8,CHI,9,11,15.2,2.11,null,FanDuel,7200
42,Michael Crabtree,LV,WR,8,BUF,10,14,11.13,1.55,null,FanDuel,7200
42,Amari Cooper,LV,WR,8,BUF,10,14,10.95,1.52,null,FanDuel,7200
42,Travis Kelce,KC,TE,8,DEN,6,28,10.5,1.46,null,FanDuel,7200
42,TY Hilton,IND,WR,8,CIN,7,9,9,1.25,null,FanDuel,7200
47,Stefon Diggs,MIN,WR,8,CLE,16,12,10.56,1.51,null,FanDuel,7000
48,Case Keenum,MIN,QB,8,CLE,16,25,14.28,2.07,null,FanDuel,6900
48,Jay Ajayi,MIA,RB,8,BAL,10,30,13.44,1.95,null,FanDuel,6900
48,Jordan Howard,CHI,RB,8,NO,18,20,12.4,1.8,null,FanDuel,6900
48,Demaryius Thomas,DEN,WR,8,KC,29,32,10.47,1.52,null,FanDuel,6900
52,Trevor Siemian,DEN,QB,8,KC,29,30,12.91,1.9,null,FanDuel,6800
53,Jacoby Brissett,IND,QB,8,CIN,7,11,13.56,2.02,null,FanDuel,6700
