Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGame,FantasyPoints
1,Kareem Hunt,KC,RB,1,NE,0,0,0,148,1,5,98,2,0,0,0,0,40.6,40.6
2,Alex Smith,KC,QB,1,NE,368,4,0,3,0,0,0,0,0,0,0,0,31,31.02
3,Jacksonville Jaguars,JAX,DST,1,HOU,0,0,0,0,0,0,0,0,10,1,3,3,28,28
3,Los Angeles Rams,LAR,DST,1,IND,0,0,0,0,0,0,0,0,4,2,2,1,28,28
5,Matthew Stafford,DET,QB,1,ARI,292,4,1,14,0,0,0,0,0,0,0,0,27.1,27.08
6,Sam Bradford,MIN,QB,1,NO,346,3,0,-3,0,0,0,0,0,0,0,0,25.5,25.54
7,Baltimore Ravens,BAL,DST,1,CIN,0,0,0,0,0,0,0,0,5,4,1,1,25,25
8,Calais Campbell,JAX,DE,1,HOU,0,0,0,0,0,0,0,0,4,0,0,0,23.8,23.75
9,Trevor Siemian,DEN,QB,1,LAC,219,2,1,19,1,0,0,0,0,0,0,0,22.7,22.66
10,Mike Gillislee,NE,RB,1,KC,0,0,0,45,3,0,0,0,0,0,0,0,22.5,22.5
11,Yannick Ngakoue,JAX,DE,1,HOU,0,0,0,0,0,0,0,0,2,0,2,1,22.1,22.1
12,Philadelphia Eagles,PHI,DST,1,WAS,0,0,0,0,0,0,0,0,4,1,2,3,22,22
13,Stefon Diggs,MIN,WR,1,NO,0,0,0,-6,0,7,93,2,0,0,0,0,20.7,20.7
14,Dante Fowler Jr.,JAX,OLB,1,HOU,0,0,0,0,0,0,0,0,1,0,1,1,20.6,20.6
15,Anthony Chickillo,PIT,OLB,1,CLE,0,0,0,0,0,0,0,0,2,0,0,0,20.5,20.5
16,T.J. Watt,PIT,OLB,1,CLE,0,0,0,0,0,0,0,0,2,1,0,0,20.1,20.1
17,Tyreek Hill,KC,WR,1,NE,0,0,0,5,0,7,133,1,0,0,0,0,19.8,19.8
18,Mike Daniels,GB,DT,1,SEA,0,0,0,0,0,0,0,0,1.5,0,1,0,19.7,19.7
19,Fletcher Cox,PHI,DT,1,WAS,0,0,0,0,0,0,0,0,1,0,1,1,19.5,19.5
20,Kenny Golladay,DET,WR,1,ARI,0,0,0,0,0,4,69,2,0,0,0,0,18.9,18.9
21,Carson Wentz,PHI,QB,1,WAS,307,2,1,6,0,0,0,0,0,0,0,0,18.9,18.88
22,Marcus Mariota,TEN,QB,1,LV,256,0,0,26,1,0,0,0,0,0,0,0,18.8,18.84
23,Austin Hooper,ATL,TE,1,CHI,0,0,0,0,0,2,128,1,0,0,0,0,18.8,18.8
