Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Sammy Watkins,KC,WR,1,JAX,0,0,0,0,0,9,198,3,0,0,0,0,42.3,42.3
2,Christian McCaffrey,CAR,RB,1,LAR,0,0,0,128,2,10,81,0,0,0,0,0,37.9,37.9
3,Austin Ekeler,LAC,RB,1,IND,0,0,0,58,1,6,96,2,0,0,0,0,36.4,36.4
4,Lamar Jackson,BAL,QB,1,MIA,324,5,0,6,0,0,0,0,0,0,0,0,33.6,33.56
5,Dak Prescott,DAL,QB,1,NYG,405,4,0,12,0,0,0,0,0,0,0,0,33.4,33.4
6,Deshaun Watson,HOU,QB,1,NO,268,3,1,40,1,0,0,0,0,0,0,0,31.7,31.72
7,DeSean Jackson,PHI,WR,1,WAS,0,0,0,0,0,8,154,2,0,0,0,0,31.4,31.4
8,John Ross,CIN,WR,1,SEA,0,0,0,0,0,7,158,2,0,0,0,0,31.3,31.3
9,Marquise Brown,BAL,WR,1,MIA,0,0,0,0,0,4,147,2,0,0,0,0,28.7,28.7
10,Derrick Henry,TEN,RB,1,CLE,0,0,0,84,1,1,75,1,0,0,0,0,28.4,28.4
11,Matthew Stafford,DET,QB,1,ARI,385,3,0,22,0,0,0,0,0,0,0,0,27.6,27.6
12,Patrick Mahomes,KC,QB,1,JAX,378,3,0,2,0,0,0,0,0,0,0,0,27.3,27.32
13,Case Keenum,WAS,QB,1,PHI,380,3,0,0,0,0,0,0,0,0,0,0,27.2,27.2
14,DeAndre Hopkins,HOU,WR,1,NO,0,0,0,0,0,8,111,2,0,0,0,0,27.1,27.1
15,San Francisco 49ers,SF,DST,1,TB,0,0,0,0,0,0,0,0,3,3,2,1,27,27
16,Tom Brady,NE,QB,1,PIT,341,3,0,0,0,0,0,0,0,0,0,0,25.6,25.64
17,Marlon Mack,IND,RB,1,LAC,0,0,0,174,1,0,0,0,0,0,0,0,25.4,25.4
18,Carson Wentz,PHI,QB,1,WAS,313,3,0,5,0,0,0,0,0,0,0,0,25,25.02
19,Dalvin Cook,MIN,RB,1,ATL,0,0,0,111,2,2,9,0,0,0,0,0,25,25
20,Philip Rivers,LAC,QB,1,IND,333,3,1,6,0,0,0,0,0,0,0,0,24.9,24.92
21,T.Y. Hilton,IND,WR,1,LAC,0,0,0,0,0,8,87,2,0,0,0,0,24.7,24.7
