,Name,Position,Opponent,Week,Team,OPRNK,Projected,Salary,Percentage,FPPG,Date,Line Close,Total Score Close,Team Proj,Home / Away
0,Aaron Rodgers,QB,DET,2,GB,16,23.29,15000,,3.3,2021,-10.5,49.5,35.25,Home
1,Davante Adams,WR,DET,2,GB,26,19.15,14000,,8.1,2021,-10.5,49.5,35.25,Home
2,Aaron Jones,RB,DET,2,GB,30,16.74,11000,,3.2,2021,-10.5,49.5,35.25,Home
3,Robert Tonyan,TE,DET,2,GB,20,8.59,9000,,1.8,2021,-10.5,49.5,35.25,Home
4,Mason Crosby,K,DET,2,GB,31,7.9,8000,,3.0,2021,-10.5,49.5,35.25,Home
5,Allen Lazard,WR,DET,2,GB,26,5.67,7000,,2.6,2021,-10.5,49.5,35.25,Home
6,Marquez Valdes-Scantling,WR,DET,2,GB,26,8.71,6000,,3.2,2021,-10.5,49.5,35.25,Home
7,Jordan Love,QB,DET,2,GB,16,0.33,5500,,0.7,2021,-10.5,49.5,35.25,Home
8,Randall Cobb,WR,DET,2,GB,26,5.45,5000,,3.8,2021,-10.5,49.5,35.25,Home
9,Amari Rodgers,WR,DET,2,GB,26,2.03,4500,,2.4,2021,-10.5,49.5,35.25,Home
10,Marcedes Lewis,TE,DET,2,GB,20,1.97,4000,,2.4,2021,-10.5,49.5,35.25,Home
11,Kylin Hill,RB,DET,2,GB,30,1.25,3500,,1.4,2021,-10.5,49.5,35.25,Home
12,Malik Taylor,WR,DET,2,GB,26,0.67,3500,,2.4,2021,-10.5,49.5,35.25,Home
13,Dominique Dafney,TE,DET,2,GB,20,1.07,3000,,0.0,2021,-10.5,49.5,35.25,Home
14,Josiah Deguara,TE,DET,2,GB,20,0.0,3000,,0.0,2021,-10.5,49.5,35.25,Home
15,Jared Goff,QB,GB,2,DET,32,16.05,12500,,29.9,2021,10.5,49.5,14.25,Away
16,D'Andre Swift,RB,GB,2,DET,22,14.01,10500,,20.4,2021,10.5,49.5,14.25,Away
17,T.J. Hockenson,TE,GB,2,DET,30,10.9,10000,,21.7,2021,10.5,49.5,14.25,Away
18,Jamaal Williams,RB,GB,2,DET,22,8.82,9500,,21.0,2021,10.5,49.5,14.25,Away
19,Tyrell Williams,WR,GB,2,DET,13,0.0,8500,,2.4,2021,10.5,49.5,14.25,Away
20,Austin Seibert,K,GB,2,DET,17,6.85,7500,,6.0,2021,10.5,49.5,14.25,Away
21,Kalif Raymond,WR,GB,2,DET,13,5.37,6500,,7.4,2021,10.5,49.5,14.25,Away
22,Quintez Cephus,WR,GB,2,DET,13,5.32,6000,,10.7,2021,10.5,49.5,14.25,Away
23,Amon-Ra St. Brown,WR,GB,2,DET,13,6.06,5500,,3.3,2021,10.5,49.5,14.25,Away
24,Trinity Benson,WR,GB,2,DET,13,3.78,4500,,3.4,2021,10.5,49.5,14.25,Away
25,Darren Fells,TE,GB,2,DET,30,1.54,4000,,0.7,2021,10.5,49.5,14.25,Away
26,Godwin Igwebuike,RB,GB,2,DET,22,0.21,3000,,0.0,2021,10.5,49.5,14.25,Away
