,Name,Position,Opponent,Week,Team,OPRNK,Projected,Salary,Percentage,FPPG,Date,Line Close,Total Score Close,Team Proj,Home / Away
0,Christian McCaffrey,RB,NO,2,CAR,3.0,19.8,10000,0.1,23.2,2021,3.5,46.5,19.75,Home
1,DJ Moore,WR,NO,2,CAR,4.0,12.15,6700,3.9,12.4,2021,3.5,46.5,19.75,Home
2,Sam Darnold,QB,NO,2,CAR,1.0,17.06,6600,1.0,19.1,2021,3.5,46.5,19.75,Home
3,Robby Anderson,WR,NO,2,CAR,4.0,9.91,6300,3.9,12.2,2021,3.5,46.5,19.75,Home
4,Terrace Marshall Jr.,WR,NO,2,CAR,4.0,6.16,5000,2.4,4.1,2021,3.5,46.5,19.75,Home
5,Chuba Hubbard,RB,NO,2,CAR,3.0,1.73,4600,0.0,1.4,2021,3.5,46.5,19.75,Home
6,Alex Erickson,WR,NO,2,CAR,4.0,1.05,4500,0.0,0.0,2021,3.5,46.5,19.75,Home
7,Brandon Zylstra,WR,NO,2,CAR,4.0,0.85,4500,0.0,0.0,2021,3.5,46.5,19.75,Home
8,Royce Freeman,RB,NO,2,CAR,3.0,0.84,4500,0.0,0.0,2021,3.5,46.5,19.75,Home
9,Stantley Thomas-Oliver III,DB,NO,2,CAR,,0.0,4500,,0.0,2021,3.5,46.5,19.75,Home
10,Dan Arnold,TE,NO,2,CAR,8.0,4.78,4400,0.0,1.6,2021,3.5,46.5,19.75,Home
11,Ian Thomas,TE,NO,2,CAR,8.0,2.34,4200,0.0,2.2,2021,3.5,46.5,19.75,Home
12,Tommy Tremble,TE,NO,2,CAR,8.0,0.67,4100,0.0,0.0,2021,3.5,46.5,19.75,Home
13,Colin Thompson,TE,NO,2,CAR,8.0,0.26,4000,0.0,0.0,2021,3.5,46.5,19.75,Home
14,Giovanni Ricci,RB,NO,2,CAR,3.0,0.17,4000,0.0,0.0,2021,3.5,46.5,19.75,Home
15,Carolina Panthers,DST,NO,2,CAR,,7.6,3800,0.0,9.0,2021,3.5,46.5,19.75,Home
16,Dalvin Cook,RB,ARI,2,MIN,10.0,18.83,9200,12.1,17.4,2021,4.5,51.5,21.25,Away
17,Adam Thielen,WR,ARI,2,MIN,8.0,13.03,7600,2.4,25.7,2021,4.5,51.5,21.25,Away
18,Kirk Cousins,QB,ARI,2,MIN,7.0,18.98,7400,1.0,22.0,2021,4.5,51.5,21.25,Away
19,Justin Jefferson,WR,ARI,2,MIN,8.0,14.44,7300,7.0,10.0,2021,4.5,51.5,21.25,Away
20,Tyler Conklin,TE,ARI,2,MIN,4.0,6.21,5000,0.5,6.1,2021,4.5,51.5,21.25,Away
21,Alexander Mattison,RB,ARI,2,MIN,10.0,3.46,4700,0.0,1.1,2021,4.5,51.5,21.25,Away
22,K.J. Osborn,WR,ARI,2,MIN,8.0,5.84,4600,0.0,11.1,2021,4.5,51.5,21.25,Away
23,Ameer Abdullah,RB,ARI,2,MIN,10.0,0.85,4600,0.0,2.9,2021,4.5,51.5,21.25,Away
24,Dede Westbrook,WR,ARI,2,MIN,8.0,1.21,4500,0.0,1.6,2021,4.5,51.5,21.25,Away
25,C.J. Ham,RB,ARI,2,MIN,10.0,1.05,4500,0.0,1.9,2021,4.5,51.5,21.25,Away
26,Ihmir Smith-Marsette,WR,ARI,2,MIN,8.0,0.78,4500,,0.0,2021,4.5,51.5,21.25,Away
27,Blake Lynch,LB,ARI,2,MIN,,0.0,4500,,0.0,2021,4.5,51.5,21.25,Away
28,Chris Herndon,TE,ARI,2,MIN,4.0,2.19,4200,0.0,0.0,2021,4.5,51.5,21.25,Away
29,Brandon Dillon,TE,ARI,2,MIN,4.0,0.06,4000,0.0,0.0,2021,4.5,51.5,21.25,Away
30,Andrew DePaola,TE,ARI,2,MIN,,,4000,,0.0,2021,4.5,51.5,21.25,Away
31,Minnesota Vikings,DST,ARI,2,MIN,,7.0,3300,0.0,5.0,2021,4.5,51.5,21.25,Away
32,Alvin Kamara,RB,CAR,2,NO,5.0,19.9,8800,21.2,16.6,2021,-3.5,46.5,26.75,Away
33,Jameis Winston,QB,CAR,2,NO,12.0,18.3,7700,1.1,29.6,2021,-3.5,46.5,26.75,Away
34,Taysom Hill,QB,CAR,2,NO,12.0,1.97,6400,0.0,0.2,2021,-3.5,46.5,26.75,Away
35,Marquez Callaway,WR,CAR,2,NO,22.0,9.18,5700,3.9,1.9,2021,-3.5,46.5,26.75,Away
36,Deonte Harris,WR,CAR,2,NO,22.0,7.25,5400,0.5,14.2,2021,-3.5,46.5,26.75,Away
37,Juwan Johnson,TE,CAR,2,NO,13.0,5.19,5100,0.5,15.6,2021,-3.5,46.5,26.75,Away
38,Tony Jones Jr.,RB,CAR,2,NO,5.0,6.19,4900,0.0,5.8,2021,-3.5,46.5,26.75,Away
39,Chris Hogan,WR,CAR,2,NO,22.0,2.98,4900,0.0,7.5,2021,-3.5,46.5,26.75,Away
40,Ty Montgomery,WR,CAR,2,NO,22.0,3.22,4700,0.0,1.0,2021,-3.5,46.5,26.75,Away
