,Name,Position,Week,Team,OPRNK,Salary,Percentage,Predictions
0,Christian McCaffrey,RB,2,CAR,3.0,10000,0.1,19.5
1,Dalvin Cook,RB,2,MIN,10.0,9200,12.1,18.0
2,Alvin Kamara,RB,2,NO,5.0,8800,21.2,18.4
3,Kyler Murray,QB,2,ARI,14.0,8700,11.5,26.4
4,Russell Wilson,QB,2,SEA,32.0,8500,8.3,24.7
5,DeAndre Hopkins,WR,2,ARI,24.0,8500,0.1,16.9
6,Nick Chubb,RB,2,CLE,10.0,8400,15.3,18.0
7,Tom Brady,QB,2,TB,28.0,8200,6.3,25.0
8,Josh Allen,QB,2,BUF,8.0,8100,10.5,22.1
9,Josh Allen,QB,2,BUF,8.0,8100,10.5,19.5
10,Dak Prescott,QB,2,DAL,3.0,8000,10.1,22.3
11,Derrick Henry,RB,2,TEN,21.0,8000,11.1,14.9
12,Chris Godwin,WR,2,TB,17.0,8000,9.9,14.4
13,Jalen Hurts,QB,2,PHI,29.0,7800,6.5,22.8
14,Joe Mixon,RB,2,CIN,15.0,7800,12.1,15.8
15,Amari Cooper,WR,2,DAL,2.0,7800,10.3,16.2
16,Jameis Winston,QB,2,NO,12.0,7700,1.1,19.9
17,Calvin Ridley,WR,2,ATL,31.0,7700,12.3,12.9
18,Justin Herbert,QB,2,LAC,26.0,7600,12.7,21.5
19,Adam Thielen,WR,2,MIN,8.0,7600,2.4,14.3
20,Matthew Stafford,QB,2,LAR,24.0,7500,3.2,20.9
21,Stefon Diggs,WR,2,BUF,5.0,7500,17.3,14.2
22,Ezekiel Elliott,RB,2,DAL,9.0,7500,9.2,12.2
23,Kirk Cousins,QB,2,MIN,7.0,7400,1.0,19.0
24,Keenan Allen,WR,2,LAC,27.0,7400,15.2,14.1
25,Ryan Tannehill,QB,2,TEN,13.0,7300,4.1,18.4
26,Justin Jefferson,WR,2,MIN,8.0,7300,7.0,12.9
27,David Montgomery,RB,2,CHI,19.0,7300,8.2,15.2
28,Ben Roethlisberger,QB,2,PIT,11.0,7200,2.2,17.7
