,Name,Position,Week,Team,OPRNK,FD_Projection,Salary,Percentage,Predictions,Boom/Bust
0,Derrick Henry,RB,3,TEN,13.0,18.31,9700,20.7,18.6,Boom
1,Dalvin Cook,RB,3,MIN,31.0,18.46,9500,21.9,19.1,Boom
2,Kyler Murray,QB,3,ARI,23.0,25.96,9000,10.4,28.8,Boom
3,Patrick Mahomes,QB,3,KC,2.0,24.38,8700,12.4,27.8,Boom
4,Tyreek Hill,WR,3,KC,1.0,18.02,8700,16.7,17.7,Boom
5,Travis Kelce,TE,3,KC,17.0,16.25,8500,22.5,16.1,Boom
6,DeAndre Hopkins,WR,3,ARI,21.0,15.49,8500,10.7,14.8,Boom
7,Lamar Jackson,QB,3,BAL,25.0,25.5,8400,11.9,25.5,
8,Russell Wilson,QB,3,SEA,29.0,23.24,8400,7.4,24.0,Boom
9,Calvin Ridley,WR,3,ATL,16.0,14.86,8100,6.0,13.6,Bust
10,Josh Allen,QB,3,BUF,20.0,23.17,8000,8.9,26.1,Boom
11,Alvin Kamara,RB,3,NO,11.0,17.18,8000,17.7,18.2,Bust
12,Tyler Lockett,WR,3,SEA,31.0,15.11,8000,13.4,14.0,Boom
13,Cooper Kupp,WR,3,LAR,28.0,15.64,7900,13.6,15.6,
14,Tom Brady,QB,3,TB,9.0,20.8,7800,6.0,20.8,
15,Nick Chubb,RB,3,CLE,6.0,15.9,7800,8.0,16.1,Boom
16,Kirk Cousins,QB,3,MIN,12.0,19.77,7700,4.4,20.6,Boom
17,Stefon Diggs,WR,3,BUF,23.0,15.19,7700,16.0,15.3,Bust
18,Chris Carson,RB,3,SEA,18.0,13.87,7700,7.0,13.8,Boom
19,Matthew Stafford,QB,3,LAR,21.0,20.26,7600,6.4,20.3,
20,Adam Thielen,WR,3,MIN,13.0,14.09,7600,7.0,14.9,Boom
21,Justin Herbert,QB,3,LAC,24.0,21.01,7500,5.4,22.9,Bust
22,Najee Harris,RB,3,PIT,9.0,13.75,7500,12.7,5.8,Bust
23,Daniel Jones,QB,3,NYG,32.0,19.72,7400,2.9,20.0,Boom
24,Justin Jefferson,WR,3,MIN,13.0,14.48,7400,10.7,15.7,Boom
25,Darren Waller,TE,3,LV,20.0,14.01,7400,14.7,14.0,
26,D'Andre Swift,RB,3,DET,20.0,13.24,7400,4.7,15.6,Boom
27,Teddy Bridgewater,QB,3,DEN,6.0,18.29,7300,2.9,17.8,Boom
28,Chris Godwin,WR,3,TB,6.0,13.16,7300,16.1,13.2,
29,Derek Carr,QB,3,LV,10.0,18.96,7200,1.0,19.0,
30,DK Metcalf,WR,3,SEA,31.0,14.69,7200,16.4,13.9,Boom
31,Terry McLaurin,WR,3,WAS,3.0,12.86,7200,5.0,13.1,Bust
32,Josh Jacobs,RB,3,LV,24.0,7.56,7200,0.0,7.6,
33,Matt Ryan,QB,3,ATL,16.0,17.18,7100,1.9,16.9,Bust
34,Jared Goff,QB,3,DET,28.0,16.28,7100,1.4,18.1,Boom
35,Mike Evans,WR,3,TB,6.0,12.36,7100,6.7,12.4,
36,Ryan Tannehill,QB,3,TEN,22.0,19.69,7000,3.4,20.5,Boom
37,Austin Ekeler,RB,3,LAC,30.0,15.68,7000,12.5,14.5,Boom
38,Carson Wentz,QB,3,IND,31.0,15.48,7000,1.4,20.7,Boom
39,Jonathan Taylor,RB,3,IND,19.0,14.63,7000,7.0,12.3,Bust
40,Allen Robinson II,WR,3,CHI,17.0,12.74,7000,3.0,12.7,
41,Diontae Johnson,WR,3,PIT,20.0,10.02,7000,3.0,12.6,Bust
42,Ben Roethlisberger,QB,3,PIT,13.0,17.07,6900,1.0,21.0,Bust
43,Keenan Allen,WR,3,LAC,18.0,13.93,6900,20.1,13.7,Bust
44,David Montgomery,RB,3,CHI,8.0,13.73,6900,3.0,13.7,
45,Courtland Sutton,WR,3,DEN,4.0,13.08,6900,13.4,13.1,Bust
46,Baker Mayfield,QB,3,CLE,14.0,17.44,6800,1.5,20.9,Boom
47,Jameis Winston,QB,3,NO,3.0,16.38,6800,1.4,18.1,Boom
48,Taylor Heinicke,QB,3,WAS,1.0,15.84,6800,1.9,10.1,Bust
49,A.J. Brown,WR,3,TEN,30.0,13.98,6800,10.1,14.4,Bust
50,Joe Burrow,QB,3,CIN,18.0,16.78,6700,1.5,15.3,Boom
51,Jacoby Brissett,QB,3,MIA,11.0,15.84,6700,0.5,11.7,Bust
52,Joe Mixon,RB,3,CIN,4.0,14.1,6700,14.5,14.7,Boom
53,Julio Jones,WR,3,TEN,30.0,12.38,6700,6.7,12.4,Bust
54,Tua Tagovailoa,QB,3,MIA,11.0,0.0,6700,,0.6,Neutral
55,Trevor Lawrence,QB,3,JAX,15.0,17.31,6600,1.4,5.5,Boom
56,Marquise Brown,WR,3,BAL,15.0,11.91,6600,6.7,11.9,
57,Chase Edmonds,RB,3,ARI,29.0,11.83,6600,7.5,9.4,Boom
58,Justin Fields,QB,3,CHI,30.0,18.43,6500,1.0,18.4,
59,Mac Jones,QB,3,NE,4.0,15.23,6500,0.0,-0.9,Bust
60,Zach Wilson,QB,3,NYJ,8.0,13.91,6500,0.0,7.5,Bust
61,Clyde Edwards-Helaire,RB,3,KC,28.0,12.3,6500,12.3,11.6,Bust
62,Rob Gronkowski,TE,3,TB,19.0,9.77,6500,5.0,9.8,
63,Odell Beckham Jr.,WR,3,CLE,29.0,9.47,6500,3.0,9.5,
64,Jacob Eason,QB,3,IND,31.0,7.58,6500,0.0,7.6,
65,Jarvis Landry,WR,3,CLE,29.0,0.0,6500,0.0,3.1,Neutral
66,Ryan Fitzpatrick,QB,3,WAS,1.0,0.0,6500,,0.0,
67,Andy Dalton,QB,3,CHI,30.0,0.0,6500,,0.0,
68,Sterling Shepard,WR,3,NYG,25.0,12.06,6400,6.7,10.4,Boom
69,Ty'Son Williams,RB,3,BAL,32.0,11.46,6400,5.5,11.5,
70,Drew Lock,QB,3,DEN,6.0,0.48,6400,,0.5,
71,Mitchell Trubisky,QB,3,BUF,20.0,0.28,6400,,0.3,
72,Marvin Jones Jr.,WR,3,JAX,24.0,12.22,6300,6.7,17.0,Boom
73,T.J. Hockenson,TE,3,DET,32.0,11.26,6300,9.3,12.7,Boom
74,Darrell Henderson Jr.,RB,3,LAR,17.0,10.52,6300,5.7,10.5,
75,Taysom Hill,QB,3,NO,3.0,2.05,6300,0.0,2.8,Neutral
76,Nathan Peterman,QB,3,LV,10.0,0.31,6300,,0.3,
77,Marcus Mariota,QB,3,LV,10.0,0.0,6300,,0.0,
78,Tee Higgins,WR,3,CIN,22.0,12.1,6200,4.0,13.7,Bust
79,Damien Harris,RB,3,NE,10.0,11.58,6200,5.0,5.1,Bust
80,Kyle Pitts,TE,3,ATL,29.0,10.1,6200,3.7,1.8,Neutral
81,Brandon Allen,QB,3,CIN,18.0,0.41,6200,,0.4,
82,Case Keenum,QB,3,CLE,14.0,0.19,6200,,0.2,
83,AJ McCarron,QB,3,ATL,16.0,0.0,6200,,0.0,
84,Antonio Gibson,RB,3,WAS,3.0,13.78,6100,7.5,13.1,Bust
85,Robert Woods,WR,3,LAR,28.0,13.03,6100,16.4,13.0,
86,JuJu Smith-Schuster,WR,3,PIT,20.0,11.21,6100,2.0,12.2,Bust
87,Noah Fant,TE,3,DEN,13.0,9.75,6100,3.1,7.3,Neutral
88,Mason Rudolph,QB,3,PIT,13.0,0.87,6100,,0.9,
89,Tyler Huntley,QB,3,BAL,25.0,0.4,6100,,0.4,
90,Chase Daniel,QB,3,LAC,24.0,0.23,6100,,0.2,
91,John Wolford,QB,3,LAR,21.0,0.2,6100,,0.2,
92,Geno Smith,QB,3,SEA,29.0,0.19,6100,,0.2,
93,Mike Glennon,QB,3,NYG,32.0,0.06,6100,,0.1,
94,Chris Streveler,QB,3,ARI,23.0,0.0,6100,,0.0,
95,Saquon Barkley,RB,3,NYG,21.0,13.62,6000,15.7,17.2,Bust
96,Mike Williams,WR,3,LAC,18.0,12.56,6000,10.4,10.5,Boom
97,Melvin Gordon III,RB,3,DEN,25.0,11.32,6000,3.0,14.1,Boom
98,Mark Andrews,TE,3,BAL,22.0,10.54,6000,9.1,10.5,
99,Brett Hundley,QB,3,IND,31.0,2.76,6000,,2.8,
100,Kendall Hinton,WR,3,DEN,4.0,0.62,6000,0.0,0.6,
101,Nick Foles,QB,3,CHI,30.0,0.39,6000,,0.4,
102,David Blough,QB,3,DET,28.0,0.37,6000,,0.4,
103,Colt McCoy,QB,3,ARI,23.0,0.34,6000,,0.3,
104,Chad Henne,QB,3,KC,2.0,0.27,6000,,0.3,
105,Dwayne Haskins,QB,3,PIT,13.0,0.23,6000,,0.2,
106,Josh Rosen,QB,3,ATL,16.0,0.22,6000,,0.6,Neutral
107,C.J. Beathard,QB,3,JAX,15.0,0.22,6000,,0.2,
108,Brian Hoyer,QB,3,NE,4.0,0.21,6000,,0.2,
109,Blaine Gabbert,QB,3,TB,9.0,0.21,6000,,0.2,
110,Feleipe Franks,QB,3,ATL,16.0,0.2,6000,,0.2,
111,Kyle Allen,QB,3,WAS,1.0,0.2,6000,,0.2,
112,Kyle Trask,QB,3,TB,9.0,0.19,6000,,0.2,
113,Kellen Mond,QB,3,MIN,12.0,0.17,6000,,0.2,
114,Ian Book,QB,3,NO,3.0,0.15,6000,,0.2,
115,Logan Woodside,QB,3,TEN,22.0,0.13,6000,,0.1,
116,Sean Mannion,QB,3,MIN,12.0,0.09,6000,,0.1,
117,Kyle Shurmur,QB,3,WAS,1.0,0.0,6000,,0.0,
118,Darius Bradwell,RB,3,LAC,30.0,0.0,6000,0.0,0.0,
119,Shane Buechele,QB,3,KC,2.0,0.0,6000,,0.0,
120,Josh Thomas,DB,3,BUF,,0.0,6000,,0.0,
121,Sam Ehlinger,QB,3,IND,31.0,0.0,6000,,0.0,
122,Nick Mullens,QB,3,CLE,14.0,0.0,6000,,0.0,
123,Steven Montez,QB,3,DET,28.0,0.0,6000,,0.0,
124,Davis Webb,QB,3,BUF,20.0,0.0,6000,,0.0,
125,Matt Barkley,QB,3,TEN,22.0,0.0,6000,,0.0,
126,Ryan Griffin,QB,3,TB,9.0,0.0,6000,0.0,-3.5,Neutral
127,Trace McSorley,QB,3,BAL,25.0,0.0,6000,,0.0,
128,Travis Jonsen,WR,3,TB,6.0,0.0,6000,0.0,0.0,
129,Brian Lewerke,QB,3,NYG,32.0,0.0,6000,,0.0,
130,Kyle Lauletta,QB,3,JAX,15.0,0.0,6000,,0.0,
131,Reid Sinnett,QB,3,MIA,11.0,0.0,6000,,0.0,
132,Antonio Brown,WR,3,TB,6.0,0.0,6000,3.0,0.0,
133,Bryce Perkins,QB,3,LAR,21.0,0.0,6000,,0.0,
134,Easton Stick,QB,3,LAC,24.0,0.0,6000,,0.0,
135,Garrett Gilbert,QB,3,NE,4.0,0.0,6000,,0.0,
136,Jake Browning,QB,3,CIN,18.0,0.0,6000,,0.0,
137,Joshua Dobbs,QB,3,PIT,13.0,0.0,6000,,0.0,
138,Jake Fromm,QB,3,BUF,20.0,0.0,6000,,0.0,
139,Jarrett Stidham,QB,3,NE,4.0,0.0,6000,,0.0,
140,Tim Boyle,QB,3,DET,28.0,0.0,6000,,0.0,
141,Jake Luton,QB,3,SEA,29.0,0.0,6000,,0.0,
142,Brett Rypien,QB,3,DEN,6.0,0.0,6000,,0.0,
143,Trevor Siemian,QB,3,NO,3.0,0.0,6000,,0.0,
144,Michael Thomas,WR,3,NO,7.0,0.0,6000,0.0,0.0,
145,Myles Gaskin,RB,3,MIA,22.0,11.71,5900,1.0,10.6,Neutral
146,Ja'Marr Chase,WR,3,CIN,22.0,11.41,5900,5.0,12.1,Boom
147,Corey Davis,WR,3,NYJ,12.0,9.59,5900,3.4,8.4,Neutral
148,Devin Singletary,RB,3,BUF,7.0,9.4,5900,3.0,8.4,Neutral
149,Tim Patrick,WR,3,DEN,4.0,9.34,5900,0.5,10.1,Bust
150,Cordarrelle Patterson,RB,3,ATL,26.0,7.88,5900,1.7,10.4,Neutral
151,Leonard Fournette,RB,3,TB,15.0,11.64,5800,3.0,11.6,
152,Chase Claypool,WR,3,PIT,20.0,11.32,5800,3.0,12.5,Bust
153,DJ Chark Jr.,WR,3,JAX,24.0,10.07,5800,6.7,9.6,Bust
154,Javonte Williams,RB,3,DEN,25.0,8.42,5800,2.7,-12.5,Neutral
155,Mike Davis,RB,3,ATL,26.0,11.78,5700,11.0,13.0,Bust
156,Kenyan Drake,RB,3,LV,24.0,9.44,5700,2.5,9.4,
157,Logan Thomas,TE,3,WAS,12.0,9.22,5700,3.0,6.4,Neutral
158,Christian Kirk,WR,3,ARI,21.0,9.04,5700,2.7,11.5,Boom
159,Sammy Watkins,WR,3,BAL,15.0,8.9,5700,1.7,8.9,
160,DeVante Parker,WR,3,MIA,19.0,8.82,5700,1.0,13.9,Neutral
161,Sony Michel,RB,3,LAR,17.0,6.33,5700,1.0,6.3,
162,Kenny Golladay,WR,3,NYG,25.0,10.66,5600,6.0,10.2,Bust
163,Kareem Hunt,RB,3,CLE,6.0,10.34,5600,8.0,11.1,Boom
164,Michael Pittman Jr.,WR,3,IND,32.0,10.21,5600,2.7,5.7,Bust
165,Tyler Boyd,WR,3,CIN,22.0,10.13,5600,3.0,9.8,Bust
166,Nelson Agholor,WR,3,NE,14.0,9.43,5600,1.0,12.0,Neutral
167,Rondale Moore,WR,3,ARI,21.0,9.4,5600,1.0,13.5,Boom
168,Darnell Mooney,WR,3,CHI,17.0,9.38,5600,1.7,9.4,
169,Henry Ruggs III,WR,3,LV,10.0,8.73,5600,0.5,8.7,
170,Jamaal Williams,RB,3,DET,20.0,8.6,5600,1.7,8.5,Boom
171,Mike Gesicki,TE,3,MIA,6.0,7.03,5600,1.1,8.2,Neutral
172,Peyton Barber,RB,3,LV,24.0,3.43,5600,1.0,3.4,
173,James Robinson,RB,3,JAX,12.0,12.24,5500,5.0,12.3,Bust
174,Jaylen Waddle,WR,3,MIA,19.0,9.0,5500,0.5,10.5,Neutral
175,Tyler Higbee,TE,3,LAR,18.0,8.56,5500,7.7,8.6,
176,William Fuller V,WR,3,MIA,19.0,8.16,5500,1.0,8.2,
177,A.J. Green,WR,3,ARI,21.0,7.36,5500,3.0,6.1,Bust
178,Latavius Murray,RB,3,BAL,32.0,6.45,5500,3.0,6.4,
179,Jamison Crowder,WR,3,NYJ,12.0,6.2,5500,7.7,6.2,
180,Donovan Peoples-Jones,WR,3,CLE,29.0,5.38,5500,0.5,1.3,Neutral
181,Tyrell Williams,WR,3,DET,26.0,0.0,5500,1.0,0.0,
182,Tre'Quan Smith,WR,3,NO,7.0,0.0,5500,0.0,0.0,
183,Cole Beasley,WR,3,BUF,23.0,9.99,5400,9.7,10.4,Bust
184,James White,RB,3,NE,10.0,9.63,5400,1.0,10.5,Neutral
185,Laviska Shenault Jr.,WR,3,JAX,24.0,9.23,5400,4.0,8.6,Bust
186,Mecole Hardman,WR,3,KC,1.0,8.71,5400,8.7,9.2,Bust
